,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,data,Family
156,157,1.0,3,0,16.0,0,0,7.7333,8,1,train,0
157,158,0.0,3,1,30.0,0,0,8.05,8,2,train,0
158,159,0.0,3,1,29.881137667304014,0,0,8.6625,8,2,train,0
159,160,0.0,3,1,29.881137667304014,8,2,69.55,8,2,train,10
160,161,0.0,3,1,44.0,0,1,16.1,8,2,train,1
161,162,1.0,2,0,40.0,0,0,15.75,8,2,train,0
162,163,0.0,3,1,26.0,0,0,7.775,8,2,train,0
163,164,0.0,3,1,17.0,0,0,8.6625,8,2,train,0
164,165,0.0,3,1,1.0,4,1,39.6875,8,2,train,5
165,166,1.0,3,1,9.0,0,2,20.525,8,2,train,2
166,167,1.0,1,0,29.881137667304014,0,1,55.0,4,2,train,1
167,168,0.0,3,0,45.0,1,4,27.9,8,2,train,5
168,169,0.0,1,1,29.881137667304014,0,0,25.925,8,2,train,0
169,170,0.0,3,1,28.0,0,0,56.4958,8,2,train,0
170,171,0.0,1,1,61.0,0,0,33.5,1,2,train,0
171,172,0.0,3,1,4.0,4,1,29.125,8,1,train,5
172,173,1.0,3,0,1.0,1,1,11.1333,8,2,train,2
173,174,0.0,3,1,21.0,0,0,7.925,8,2,train,0
174,175,0.0,1,1,56.0,0,0,30.6958,0,0,train,0
175,176,0.0,3,1,18.0,1,1,7.8542,8,2,train,2
176,177,0.0,3,1,29.881137667304014,3,1,25.4667,8,2,train,4
177,178,0.0,1,0,50.0,0,0,28.7125,2,0,train,0
178,179,0.0,2,1,30.0,0,0,13.0,8,2,train,0
179,180,0.0,3,1,36.0,0,0,0.0,8,2,train,0
180,181,0.0,3,0,29.881137667304014,8,2,69.55,8,2,train,10
181,182,0.0,2,1,29.881137667304014,0,0,15.05,8,0,train,0
182,183,0.0,3,1,9.0,4,2,31.3875,8,2,train,6
183,184,1.0,2,1,1.0,2,1,39.0,5,2,train,3
184,185,1.0,3,0,4.0,0,2,22.025,8,2,train,2
185,186,0.0,1,1,29.881137667304014,0,0,50.0,0,2,train,0
186,187,1.0,3,0,29.881137667304014,1,0,15.5,8,1,train,1
187,188,1.0,1,1,45.0,0,0,26.55,8,2,train,0
188,189,0.0,3,1,40.0,1,1,15.5,8,1,train,2
189,190,0.0,3,1,36.0,0,0,7.8958,8,2,train,0
190,191,1.0,2,0,32.0,0,0,13.0,8,2,train,0
191,192,0.0,2,1,19.0,0,0,13.0,8,2,train,0
192,193,1.0,3,0,19.0,1,0,7.8542,8,2,train,1
193,194,1.0,2,1,3.0,1,1,26.0,5,2,train,2
194,195,1.0,1,0,44.0,0,0,27.7208,1,0,train,0
195,196,1.0,1,0,58.0,0,0,146.5208,1,0,train,0
196,197,0.0,3,1,29.881137667304014,0,0,7.75,8,1,train,0
197,198,0.0,3,1,42.0,0,1,8.4042,8,2,train,1
198,199,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
199,200,0.0,2,0,24.0,0,0,13.0,8,2,train,0
200,201,0.0,3,1,28.0,0,0,9.5,8,2,train,0
201,202,0.0,3,1,29.881137667304014,8,2,69.55,8,2,train,10
202,203,0.0,3,1,34.0,0,0,6.4958,8,2,train,0
203,204,0.0,3,1,45.5,0,0,7.225,8,0,train,0
204,205,1.0,3,1,18.0,0,0,8.05,8,2,train,0
205,206,0.0,3,0,2.0,0,1,10.4625,6,2,train,1
206,207,0.0,3,1,32.0,1,0,15.85,8,2,train,1
207,208,1.0,3,1,26.0,0,0,18.7875,8,0,train,0
208,209,1.0,3,0,16.0,0,0,7.75,8,1,train,0
209,210,1.0,1,1,40.0,0,0,31.0,0,0,train,0
210,211,0.0,3,1,24.0,0,0,7.05,8,2,train,0
211,212,1.0,2,0,35.0,0,0,21.0,8,2,train,0
212,213,0.0,3,1,22.0,0,0,7.25,8,2,train,0
213,214,0.0,2,1,30.0,0,0,13.0,8,2,train,0
214,215,0.0,3,1,29.881137667304014,1,0,7.75,8,1,train,1
215,216,1.0,1,0,31.0,1,0,113.275,3,0,train,1
216,217,1.0,3,0,27.0,0,0,7.925,8,2,train,0
217,218,0.0,2,1,42.0,1,0,27.0,8,2,train,1
218,219,1.0,1,0,32.0,0,0,76.2917,3,0,train,0
219,220,0.0,2,1,30.0,0,0,10.5,8,2,train,0
220,221,1.0,3,1,16.0,0,0,8.05,8,2,train,0
221,222,0.0,2,1,27.0,0,0,13.0,8,2,train,0
222,223,0.0,3,1,51.0,0,0,8.05,8,2,train,0
223,224,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
224,225,1.0,1,1,38.0,1,0,90.0,2,2,train,1
225,226,0.0,3,1,22.0,0,0,9.35,8,2,train,0
226,227,1.0,2,1,19.0,0,0,10.5,8,2,train,0
227,228,0.0,3,1,20.5,0,0,7.25,8,2,train,0
228,229,0.0,2,1,18.0,0,0,13.0,8,2,train,0
229,230,0.0,3,0,29.881137667304014,3,1,25.4667,8,2,train,4
230,231,1.0,1,0,35.0,1,0,83.475,2,2,train,1
231,232,0.0,3,1,29.0,0,0,7.775,8,2,train,0
232,233,0.0,2,1,59.0,0,0,13.5,8,2,train,0
233,234,1.0,3,0,5.0,4,2,31.3875,8,2,train,6
234,235,0.0,2,1,24.0,0,0,10.5,8,2,train,0
235,236,0.0,3,0,29.881137667304014,0,0,7.55,8,2,train,0
236,237,0.0,2,1,44.0,1,0,26.0,8,2,train,1
237,238,1.0,2,0,8.0,0,2,26.25,8,2,train,2
238,239,0.0,2,1,19.0,0,0,10.5,8,2,train,0
239,240,0.0,2,1,33.0,0,0,12.275,8,2,train,0
240,241,0.0,3,0,29.881137667304014,1,0,14.4542,8,0,train,1
241,242,1.0,3,0,29.881137667304014,1,0,15.5,8,1,train,1
242,243,0.0,2,1,29.0,0,0,10.5,8,2,train,0
243,244,0.0,3,1,22.0,0,0,7.125,8,2,train,0
244,245,0.0,3,1,30.0,0,0,7.225,8,0,train,0
245,246,0.0,1,1,44.0,2,0,90.0,2,1,train,2
246,247,0.0,3,0,25.0,0,0,7.775,8,2,train,0
247,248,1.0,2,0,24.0,0,2,14.5,8,2,train,2
248,249,1.0,1,1,37.0,1,1,52.5542,3,2,train,2
249,250,0.0,2,1,54.0,1,0,26.0,8,2,train,1
250,251,0.0,3,1,29.881137667304014,0,0,7.25,8,2,train,0
251,252,0.0,3,0,29.0,1,1,10.4625,6,2,train,2
252,253,0.0,1,1,62.0,0,0,26.55,2,2,train,0
253,254,0.0,3,1,30.0,1,0,16.1,8,2,train,1
254,255,0.0,3,0,41.0,0,2,20.2125,8,2,train,2
255,256,1.0,3,0,29.0,0,2,15.2458,8,0,train,2
256,257,1.0,1,0,29.881137667304014,0,0,79.2,8,0,train,0
257,258,1.0,1,0,30.0,0,0,86.5,1,2,train,0
258,259,1.0,1,0,35.0,0,0,512.3292,8,0,train,0
259,260,1.0,2,0,50.0,0,1,26.0,8,2,train,1
260,261,0.0,3,1,29.881137667304014,0,0,7.75,8,1,train,0
261,262,1.0,3,1,3.0,4,2,31.3875,8,2,train,6
262,263,0.0,1,1,52.0,1,1,79.65,4,2,train,2
263,264,0.0,1,1,40.0,0,0,0.0,1,2,train,0
264,265,0.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
265,266,0.0,2,1,36.0,0,0,10.5,8,2,train,0
266,267,0.0,3,1,16.0,4,1,39.6875,8,2,train,5
267,268,1.0,3,1,25.0,1,0,7.775,8,2,train,1
268,269,1.0,1,0,58.0,0,1,153.4625,2,2,train,1
269,270,1.0,1,0,35.0,0,0,135.6333,2,2,train,0
270,271,0.0,1,1,29.881137667304014,0,0,31.0,8,2,train,0
271,272,1.0,3,1,25.0,0,0,0.0,8,2,train,0
272,273,1.0,2,0,41.0,0,1,19.5,8,2,train,1
273,274,0.0,1,1,37.0,0,1,29.7,2,0,train,1
274,275,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
275,276,1.0,1,0,63.0,1,0,77.9583,3,2,train,1
276,277,0.0,3,0,45.0,0,0,7.75,8,2,train,0
277,278,0.0,2,1,29.881137667304014,0,0,0.0,8,2,train,0
278,279,0.0,3,1,7.0,4,1,29.125,8,1,train,5
279,280,1.0,3,0,35.0,1,1,20.25,8,2,train,2
280,281,0.0,3,1,65.0,0,0,7.75,8,1,train,0
281,282,0.0,3,1,28.0,0,0,7.8542,8,2,train,0
282,283,0.0,3,1,16.0,0,0,9.5,8,2,train,0
283,284,1.0,3,1,19.0,0,0,8.05,8,2,train,0
284,285,0.0,1,1,29.881137667304014,0,0,26.0,0,2,train,0
285,286,0.0,3,1,33.0,0,0,8.6625,8,0,train,0
286,287,1.0,3,1,30.0,0,0,9.5,8,2,train,0
287,288,0.0,3,1,22.0,0,0,7.8958,8,2,train,0
288,289,1.0,2,1,42.0,0,0,13.0,8,2,train,0
289,290,1.0,3,0,22.0,0,0,7.75,8,1,train,0
290,291,1.0,1,0,26.0,0,0,78.85,8,2,train,0
291,292,1.0,1,0,19.0,1,0,91.0792,1,0,train,1
292,293,0.0,2,1,36.0,0,0,12.875,3,0,train,0
293,294,0.0,3,0,24.0,0,0,8.85,8,2,train,0
294,295,0.0,3,1,24.0,0,0,7.8958,8,2,train,0
295,296,0.0,1,1,29.881137667304014,0,0,27.7208,8,0,train,0
296,297,0.0,3,1,23.5,0,0,7.2292,8,0,train,0
297,298,0.0,1,0,2.0,1,2,151.55,2,2,train,3
298,299,1.0,1,1,29.881137667304014,0,0,30.5,2,2,train,0
299,300,1.0,1,0,50.0,0,1,247.5208,1,0,train,1
300,301,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
301,302,1.0,3,1,29.881137667304014,2,0,23.25,8,1,train,2
302,303,0.0,3,1,19.0,0,0,0.0,8,2,train,0
303,304,1.0,2,0,29.881137667304014,0,0,12.35,4,1,train,0
304,305,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
305,306,1.0,1,1,0.92,1,2,151.55,2,2,train,3
306,307,1.0,1,0,29.881137667304014,0,0,110.8833,8,0,train,0
307,308,1.0,1,0,17.0,1,0,108.9,2,0,train,1
308,309,0.0,2,1,30.0,1,0,24.0,8,0,train,1
309,310,1.0,1,0,30.0,0,0,56.9292,4,0,train,0
310,311,1.0,1,0,24.0,0,0,83.1583,2,0,train,0
311,312,1.0,1,0,18.0,2,2,262.375,1,0,train,4
312,313,0.0,2,0,26.0,1,1,26.0,8,2,train,2
313,314,0.0,3,1,28.0,0,0,7.8958,8,2,train,0
314,315,0.0,2,1,43.0,1,1,26.25,8,2,train,2
315,316,1.0,3,0,26.0,0,0,7.8542,8,2,train,0
316,317,1.0,2,0,24.0,1,0,26.0,8,2,train,1
317,318,0.0,2,1,54.0,0,0,14.0,8,2,train,0
318,319,1.0,1,0,31.0,0,2,164.8667,2,2,train,2
319,320,1.0,1,0,40.0,1,1,134.5,4,0,train,2
320,321,0.0,3,1,22.0,0,0,7.25,8,2,train,0
321,322,0.0,3,1,27.0,0,0,7.8958,8,2,train,0
322,323,1.0,2,0,30.0,0,0,12.35,8,1,train,0
323,324,1.0,2,0,22.0,1,1,29.0,8,2,train,2
324,325,0.0,3,1,29.881137667304014,8,2,69.55,8,2,train,10
325,326,1.0,1,0,36.0,0,0,135.6333,2,0,train,0
326,327,0.0,3,1,61.0,0,0,6.2375,8,2,train,0
327,328,1.0,2,0,36.0,0,0,13.0,3,2,train,0
328,329,1.0,3,0,31.0,1,1,20.525,8,2,train,2
329,330,1.0,1,0,16.0,0,1,57.9792,1,0,train,1
330,331,1.0,3,0,29.881137667304014,2,0,23.25,8,1,train,2
331,332,0.0,1,1,45.5,0,0,28.5,2,2,train,0
332,333,0.0,1,1,38.0,0,1,153.4625,2,2,train,1
333,334,0.0,3,1,16.0,2,0,18.0,8,2,train,2
334,335,1.0,1,0,29.881137667304014,1,0,133.65,8,2,train,1
335,336,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
336,337,0.0,1,1,29.0,1,0,66.6,2,2,train,1
337,338,1.0,1,0,41.0,0,0,134.5,4,0,train,0
338,339,1.0,3,1,45.0,0,0,8.05,8,2,train,0
339,340,0.0,1,1,45.0,0,0,35.5,7,2,train,0
340,341,1.0,2,1,2.0,1,1,26.0,5,2,train,2
341,342,1.0,1,0,24.0,3,2,263.0,2,2,train,5
342,343,0.0,2,1,28.0,0,0,13.0,8,2,train,0
343,344,0.0,2,1,25.0,0,0,13.0,8,2,train,0
344,345,0.0,2,1,36.0,0,0,13.0,8,2,train,0
345,346,1.0,2,0,24.0,0,0,13.0,5,2,train,0
346,347,1.0,2,0,40.0,0,0,13.0,8,2,train,0
347,348,1.0,3,0,29.881137667304014,1,0,16.1,8,2,train,1
348,349,1.0,3,1,3.0,1,1,15.9,8,2,train,2
349,350,0.0,3,1,42.0,0,0,8.6625,8,2,train,0
350,351,0.0,3,1,23.0,0,0,9.225,8,2,train,0
351,352,0.0,1,1,29.881137667304014,0,0,35.0,2,2,train,0
352,353,0.0,3,1,15.0,1,1,7.2292,8,0,train,2
353,354,0.0,3,1,25.0,1,0,17.8,8,2,train,1
354,355,0.0,3,1,29.881137667304014,0,0,7.225,8,0,train,0
355,356,0.0,3,1,28.0,0,0,9.5,8,2,train,0
356,357,1.0,1,0,22.0,0,1,55.0,4,2,train,1
357,358,0.0,2,0,38.0,0,0,13.0,8,2,train,0
358,359,1.0,3,0,29.881137667304014,0,0,7.8792,8,1,train,0
359,360,1.0,3,0,29.881137667304014,0,0,7.8792,8,1,train,0
360,361,0.0,3,1,40.0,1,4,27.9,8,2,train,5
361,362,0.0,2,1,29.0,1,0,27.7208,8,0,train,1
362,363,0.0,3,0,45.0,0,1,14.4542,8,0,train,1
363,364,0.0,3,1,35.0,0,0,7.05,8,2,train,0
364,365,0.0,3,1,29.881137667304014,1,0,15.5,8,1,train,1
365,366,0.0,3,1,30.0,0,0,7.25,8,2,train,0
366,367,1.0,1,0,60.0,1,0,75.25,3,0,train,1
367,368,1.0,3,0,29.881137667304014,0,0,7.2292,8,0,train,0
368,369,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
369,370,1.0,1,0,24.0,0,0,69.3,1,0,train,0
370,371,1.0,1,1,25.0,1,0,55.4417,4,0,train,1
371,372,0.0,3,1,18.0,1,0,6.4958,8,2,train,1
372,373,0.0,3,1,19.0,0,0,8.05,8,2,train,0
373,374,0.0,1,1,22.0,0,0,135.6333,8,0,train,0
374,375,0.0,3,0,3.0,3,1,21.075,8,2,train,4
375,376,1.0,1,0,29.881137667304014,1,0,82.1708,8,0,train,1
376,377,1.0,3,0,22.0,0,0,7.25,8,2,train,0
377,378,0.0,1,1,27.0,0,2,211.5,2,0,train,2
378,379,0.0,3,1,20.0,0,0,4.0125,8,0,train,0
379,380,0.0,3,1,19.0,0,0,7.775,8,2,train,0
380,381,1.0,1,0,42.0,0,0,227.525,8,0,train,0
381,382,1.0,3,0,1.0,0,2,15.7417,8,0,train,2
382,383,0.0,3,1,32.0,0,0,7.925,8,2,train,0
383,384,1.0,1,0,35.0,1,0,52.0,8,2,train,1
384,385,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
385,386,0.0,2,1,18.0,0,0,73.5,8,2,train,0
386,387,0.0,3,1,1.0,5,2,46.9,8,2,train,7
387,388,1.0,2,0,36.0,0,0,13.0,8,2,train,0
388,389,0.0,3,1,29.881137667304014,0,0,7.7292,8,1,train,0
389,390,1.0,2,0,17.0,0,0,12.0,8,0,train,0
390,391,1.0,1,1,36.0,1,2,120.0,1,2,train,3
391,392,1.0,3,1,21.0,0,0,7.7958,8,2,train,0
392,393,0.0,3,1,28.0,2,0,7.925,8,2,train,2
393,394,1.0,1,0,23.0,1,0,113.275,3,0,train,1
394,395,1.0,3,0,24.0,0,2,16.7,6,2,train,2
395,396,0.0,3,1,22.0,0,0,7.7958,8,2,train,0
396,397,0.0,3,0,31.0,0,0,7.8542,8,2,train,0
397,398,0.0,2,1,46.0,0,0,26.0,8,2,train,0
398,399,0.0,2,1,23.0,0,0,10.5,8,2,train,0
399,400,1.0,2,0,28.0,0,0,12.65,8,2,train,0
400,401,1.0,3,1,39.0,0,0,7.925,8,2,train,0
401,402,0.0,3,1,26.0,0,0,8.05,8,2,train,0
402,403,0.0,3,0,21.0,1,0,9.825,8,2,train,1
403,404,0.0,3,1,28.0,1,0,15.85,8,2,train,1
404,405,0.0,3,0,20.0,0,0,8.6625,8,2,train,0
405,406,0.0,2,1,34.0,1,0,21.0,8,2,train,1
406,407,0.0,3,1,51.0,0,0,7.75,8,2,train,0
407,408,1.0,2,1,3.0,1,1,18.75,8,2,train,2
408,409,0.0,3,1,21.0,0,0,7.775,8,2,train,0
409,410,0.0,3,0,29.881137667304014,3,1,25.4667,8,2,train,4
410,411,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
411,412,0.0,3,1,29.881137667304014,0,0,6.8583,8,1,train,0
412,413,1.0,1,0,33.0,1,0,90.0,2,1,train,1
413,414,0.0,2,1,29.881137667304014,0,0,0.0,8,2,train,0
414,415,1.0,3,1,44.0,0,0,7.925,8,2,train,0
415,416,0.0,3,0,29.881137667304014,0,0,8.05,8,2,train,0
416,417,1.0,2,0,34.0,1,1,32.5,8,2,train,2
417,418,1.0,2,0,18.0,0,2,13.0,8,2,train,2
418,419,0.0,2,1,30.0,0,0,13.0,8,2,train,0
